ID_ESTADO,D_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,TIPO_CANDIDATURA,CASILLA,ESTATUS_ACTA,ORDEN,LISTA_NOMINAL_CASILLA,ID_GRUPO,TIPO_RECUENTO,NUM_VOTOS_NULOS,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,TOTAL_VOTOS,BOLETAS_INUTILIZADAS,PAN,PRI,PRD,PVEM,PT,MC,PANAL,PRI_PVEM,PRD_PT_MC,PRD_PT,PRD_MC,PT_MC,ID_MUNICIPIO,LISTA_NOMINAL,VOTOS_RESERVADOS,pan,pri,prd
24,6,974,3,C,0,1,1,5,199,763,4,2,6,0,436,442,321,147,82,83,13,12,10,15,38,31,3,1,1,28,749,NA,147,133,141
12,4,237,1,B,0,1,1,5,384,531,2,2,1,0,313,314,215,46,56,96,4,2,11,5,39,42,7,4,1,1,517,NA,46,99,163
2,5,1090,1,B,0,1,1,6,244,522,1,2,5,0,269,274,NA,60,57,73,7,7,5,7,30,18,3,2,0,4,508,1,60,94,108
30,17,3876,1,B,0,1,1,1,347,466,NA,NA,4,0,293,297,NA,124,63,44,1,6,5,3,27,14,6,0,0,173,452,NA,124,91,75
13,5,213,1,B,0,1,2,1,46,400,NA,NA,8,0,273,281,NA,29,112,63,4,5,1,2,23,30,4,0,0,12,386,NA,29,139,103
27,6,482,1,B,0,1,2,1,228,724,NA,NA,11,0,476,487,NA,34,117,209,4,8,5,3,20,63,10,3,0,4,710,NA,34,141,298
17,2,461,1,B,0,1,1,1,186,507,NA,NA,5,1,314,319,NA,59,103,75,6,4,5,8,32,19,1,0,1,11,493,NA,59,141,105
10,4,232,1,B,0,1,1,5,226,485,1,2,3,0,310,313,172,113,82,54,0,17,7,6,13,13,3,2,0,5,471,NA,113,95,96
8,4,2083,1,B,0,1,1,1,182,731,NA,NA,10,0,320,330,NA,68,111,39,7,12,4,9,45,18,4,0,3,37,717,NA,68,163,80
26,2,231,2,C,0,1,1,1,458,638,NA,NA,8,1,303,311,NA,88,145,36,0,3,4,7,0,11,4,3,1,30,624,NA,88,145,62
11,2,211,1,B,0,1,2,5,151,442,1,2,8,0,233,241,201,101,68,21,9,2,2,11,17,2,0,0,0,3,428,NA,101,94,27
11,8,2228,1,C,0,1,2,5,279,548,3,2,22,0,331,353,195,181,93,15,9,2,1,12,16,0,2,0,0,27,534,NA,181,118,20
18,1,204,1,B,0,1,2,5,73,203,1,2,1,0,133,134,69,7,66,33,0,4,0,0,15,1,7,0,0,6,189,NA,7,81,45
1,1,433,1,B,0,1,2,1,275,393,NA,NA,13,0,249,262,NA,51,81,40,6,12,3,39,7,10,0,0,0,7,379,NA,51,94,65
21,13,191,1,C,0,1,1,1,99,560,NA,NA,6,0,323,329,NA,73,82,67,2,23,9,3,29,27,5,2,1,19,546,NA,73,113,134
12,3,818,1,B,0,1,2,1,165,146,NA,NA,0,0,67,67,NA,0,18,49,0,0,0,0,0,0,0,0,0,16,132,NA,0,18,49
7,8,1541,2,C,0,1,2,5,373,594,4,2,9,0,459,468,126,32,94,57,246,4,2,7,3,10,3,1,0,99,580,NA,32,343,77
10,4,169,1,B,0,1,1,5,130,679,1,2,6,0,413,419,260,133,138,34,6,25,4,13,30,21,6,3,0,5,665,NA,133,174,93
8,2,1480,1,B,0,1,1,1,77,472,NA,NA,10,0,209,219,NA,41,71,30,0,2,3,16,16,25,4,0,1,37,458,NA,41,87,65
16,5,2517,1,B,0,1,2,1,446,498,NA,NA,4,0,170,174,NA,100,41,16,6,1,0,2,4,0,0,0,0,109,484,NA,100,51,17
7,4,911,1,C,0,1,2,1,235,526,NA,NA,26,0,334,360,NA,97,79,31,82,13,7,5,13,3,2,0,2,61,512,NA,97,174,58
2,5,1103,3,C,0,1,1,5,285,711,4,2,2,0,324,326,385,85,77,72,10,16,9,7,22,21,5,0,0,4,697,NA,85,109,123
28,1,899,1,C,0,1,1,1,480,611,NA,NA,9,1,311,320,NA,134,97,24,1,4,1,8,27,9,2,3,0,27,597,NA,134,125,43
14,5,2212,1,C,0,1,2,1,452,636,NA,NA,10,0,461,471,NA,175,196,23,7,7,3,23,18,6,1,1,1,85,622,NA,175,221,42
15,8,5650,9,C,0,1,1,5,309,748,4,2,13,1,483,496,253,79,133,113,3,14,16,16,67,36,4,1,0,110,734,NA,79,203,184
25,6,2696,1,C,0,1,1,1,297,420,NA,NA,7,0,239,246,NA,63,74,50,3,5,2,5,20,16,0,1,0,12,406,NA,63,97,74
8,4,1777,1,B,0,1,1,5,8,525,1,2,5,0,218,223,302,55,64,44,2,2,3,8,16,19,3,2,0,37,511,NA,55,82,73
2,6,1250,1,B,0,1,1,1,431,587,NA,NA,5,1,356,361,NA,132,59,104,0,5,6,5,18,23,3,0,0,4,573,NA,132,77,141
11,1,2420,1,C,0,1,2,5,181,555,3,2,15,0,318,333,222,125,138,4,8,2,1,6,33,1,0,0,0,30,541,NA,125,179,8
15,32,2118,2,C,0,1,1,5,354,687,4,2,9,0,373,382,295,28,103,111,6,9,19,7,47,33,6,4,0,122,673,NA,28,156,182
9,11,5522,1,B,0,1,1,1,419,450,NA,NA,5,3,319,324,NA,35,66,112,0,11,9,4,32,39,6,1,1,17,436,NA,35,98,179
21,1,2378,1,B,0,1,1,5,399,660,2,2,6,0,393,399,261,74,103,90,3,20,1,5,34,42,17,3,1,197,646,NA,74,140,174
31,5,245,1,E,1,1,2,5,174,405,4,2,4,0,293,297,108,122,151,3,1,0,0,0,16,0,0,0,0,48,391,NA,122,168,3
2,7,1654,1,C,0,1,1,5,520,426,3,2,2,0,204,206,215,70,62,32,1,1,0,3,14,18,1,2,0,2,412,NA,70,77,54
25,3,3277,1,B,0,1,1,5,295,546,2,2,7,0,276,283,263,64,133,41,3,1,5,5,11,12,0,0,1,15,532,NA,64,147,60
24,5,852,1,B,0,1,1,1,247,407,NA,NA,3,0,274,277,NA,90,73,47,7,4,0,16,24,8,4,1,0,28,393,NA,90,104,64
