clave,turno,tipo,mun,esp_3,esp_6
09DPR0142M,MATUTINO,GENERAL,3,558.61,578.31
09DPR0143L,MATUTINO,GENERAL,21,563.56,536.78
09DPR0144K,MATUTINO,GENERAL,15,570.21,568.34
09DPR0145J,MATUTINO,GENERAL,16,520.78,548.65
09DPR0836V,VESPERTINO,GENERAL,18,512.65,496.8
09DPR0837U,VESPERTINO,GENERAL,27,571.4,574.3
09DPR0839S,MATUTINO,GENERAL,18,584.5,578.06
09DPR0841G,MATUTINO,GENERAL,21,576.85,559.94
09DPR0843E,VESPERTINO,GENERAL,16,515.6,527.28
09DPR0844D,MATUTINO,GENERAL,16,568.3,514.91
09DPR0846B,VESPERTINO,GENERAL,15,563.62,501.4
09DPR0847A,MATUTINO,GENERAL,13,565.29,531.27
09DPR0848Z,VESPERTINO,GENERAL,16,470.55,471.7
09DPR0849Z,MATUTINO,GENERAL,23,579.32,591.54
09DPR0851N,MATUTINO,GENERAL,28,529.5,564.93
09DPR0855J,MATUTINO,GENERAL,17,529.57,510.36
09DPR0857H,VESPERTINO,GENERAL,3,546.06,522.66
09DPR0858G,MATUTINO,GENERAL,18,522.57,523.27
09DPR0859F,VESPERTINO,GENERAL,18,506.89,537.9
09DPR0860V,MATUTINO,GENERAL,18,564.92,535
09DPR0861U,MATUTINO,GENERAL,18,514.52,519.27
09DPR0862T,MATUTINO,GENERAL,18,446.22,488.7
09DPR0863S,MATUTINO,GENERAL,18,490.76,492.57
09DPR0864R,MATUTINO,GENERAL,21,547.37,508.25
09DPR0865Q,MATUTINO,GENERAL,22,568.38,556.27
09DPR0866P,MATUTINO,GENERAL,15,543.63,571.61
09DPR0867O,MATUTINO,GENERAL,26,526.68,527.74
09DPR0868N,VESPERTINO,GENERAL,3,632.03,573.72
09DPR0869M,VESPERTINO,GENERAL,18,629.8,577.23
09DPR0871A,MATUTINO,GENERAL,18,549.97,546.58
09DPR0873Z,VESPERTINO,GENERAL,19,512.05,514.78
09DPR0874Y,MATUTINO,GENERAL,19,611.66,553.11
09DPR0875X,VESPERTINO,GENERAL,13,492.34,534.42
09DPR0877V,VESPERTINO,GENERAL,18,554.87,526.47
09DPR0878U,MATUTINO,GENERAL,21,525.94,522.84
09DPR0879T,VESPERTINO,GENERAL,18,579.21,544.59
09DPR0895K,MATUTINO,GENERAL,16,512.3,554.43
09DPR0896J,VESPERTINO,GENERAL,18,559.81,536.06
09DPR0898H,MATUTINO,GENERAL,18,576.85,536.88
09DPR0899G,MATUTINO,GENERAL,26,511.35,553.69
09DPR0901E,MATUTINO,GENERAL,26,516.58,559.76
09DPR0902D,MATUTINO,GENERAL,17,554.38,542.67
09DPR0903C,MATUTINO,GENERAL,26,538.33,587.48
09DPR0904B,MATUTINO,GENERAL,16,528.94,545.81
09DPR0905A,MATUTINO,GENERAL,16,545.32,520.89
09DPR0906Z,VESPERTINO,GENERAL,26,473.38,516.76
09DPR0907Z,MATUTINO,GENERAL,26,546.21,596.9
09DPR0908Y,MATUTINO,GENERAL,18,628.34,599.5
09DPR0910M,MATUTINO,GENERAL,17,587.16,536.4
09DPR0911L,MATUTINO,GENERAL,17,562.86,476.58
09DPR0913J,MATUTINO,GENERAL,17,596.48,612.79
09DPR0914I,MATUTINO,GENERAL,16,517.11,558.94
09DPR0916G,VESPERTINO,GENERAL,16,514.95,541.71
09DPR0917F,MATUTINO,GENERAL,26,527.38,523.15
09DPR0918E,MATUTINO,GENERAL,17,521.24,502.49
09DPR0919D,VESPERTINO,GENERAL,28,496.52,441.07
09DPR0921S,VESPERTINO,GENERAL,17,516.98,547.92
09DPR0922R,MATUTINO,GENERAL,28,445.25,528.09
09DPR0923Q,MATUTINO,GENERAL,17,535.81,594.28
09DPR0924P,MATUTINO,GENERAL,17,567.17,550.28
09DPR0927M,VESPERTINO,GENERAL,26,512.63,491.93
09DPR0928L,MATUTINO,GENERAL,26,542.8,553.62
09DPR0929K,MATUTINO,GENERAL,26,507.56,518.99
09DPR0930Z,MATUTINO,GENERAL,26,594.58,564.19
09DPR0932Y,VESPERTINO,GENERAL,26,605.73,477
09DPR0933X,MATUTINO,GENERAL,17,526.37,527.89
09DPR0934W,VESPERTINO,GENERAL,17,514.29,619.16
09DPR0935V,VESPERTINO,GENERAL,16,515.16,551.93
09DPR0936U,MATUTINO,GENERAL,17,482.92,567.71
09DPR0937T,MATUTINO,GENERAL,17,550.25,516.62
09DPR0938S,VESPERTINO,GENERAL,17,436.15,589.14
09DPR0939R,VESPERTINO,GENERAL,16,553.52,515.41
09DPR0940G,MATUTINO,GENERAL,28,568.23,551.84
09DPR0943D,MATUTINO,GENERAL,17,542.8,568.37
09DPR0944C,MATUTINO,GENERAL,28,614.1,604.12
09DPR0945B,MATUTINO,GENERAL,17,527.41,557.65
09DPR0947Z,MATUTINO,GENERAL,28,598.47,579.66
09DPR0951M,VESPERTINO,GENERAL,28,512.68,500.25
09DPR0952L,MATUTINO,GENERAL,28,540.45,545.9
09DPR0953K,MATUTINO,GENERAL,28,560.85,561.7
09DPR0954J,MATUTINO,GENERAL,28,559.52,536.31
09DPR0957G,VESPERTINO,GENERAL,28,574.03,482.09
09DPR0958F,MATUTINO,GENERAL,28,525.1,518.18
09DPR0959E,VESPERTINO,GENERAL,28,540.81,582.8
09DPR0960U,VESPERTINO,GENERAL,18,634.07,584.49
09DPR0961T,MATUTINO,GENERAL,28,522.54,539.31
09DPR0962S,VESPERTINO,GENERAL,16,555.07,542.89
09DPR0963R,MATUTINO,GENERAL,18,616.79,610.22
09DPR0964Q,MATUTINO,GENERAL,28,522.87,559.88
09DPR0965P,VESPERTINO,GENERAL,28,439.83,554.23
09DPR0966O,VESPERTINO,GENERAL,16,531.13,531.04
09DPR0967N,MATUTINO,GENERAL,25,551.61,576.08
09DPR0970A,MATUTINO,GENERAL,28,530.99,536.36
09DPR0971Z,VESPERTINO,GENERAL,28,497.04,470.21
09DPR0974X,MATUTINO,GENERAL,28,493.16,566.45
09DPR0975W,MATUTINO,GENERAL,28,549.32,521.93
09DPR0977U,MATUTINO,GENERAL,28,612.17,596.24
09DPR0979S,MATUTINO,GENERAL,18,515.07,534.1
09DPR0980H,VESPERTINO,GENERAL,18,534.44,547.78
09DPR0981G,MATUTINO,GENERAL,28,598.26,565.85
09DPR0983E,VESPERTINO,GENERAL,28,499.27,504.75
09DPR0984D,MATUTINO,GENERAL,28,588.25,557.39
09DPR0985C,MATUTINO,GENERAL,28,543.28,493.84
09DPR0986B,VESPERTINO,GENERAL,28,520.98,512.67
09DPR0988Z,MATUTINO,GENERAL,17,569.58,570.98
09DPR0990O,MATUTINO,GENERAL,28,537.54,522.72
09DPR0992M,MATUTINO,GENERAL,28,664.55,544.85
09DPR0994K,MATUTINO,GENERAL,25,544.38,594.05
09DPR0995J,VESPERTINO,GENERAL,16,514.88,476.82
09DPR0996I,MATUTINO,GENERAL,28,558.65,599.83
09DPR0997H,VESPERTINO,GENERAL,28,532.74,546.79
09DPR0998G,MATUTINO,GENERAL,17,578.99,565.65
09DPR1000V,MATUTINO,GENERAL,17,556.3,556.9
09DPR1001U,VESPERTINO,GENERAL,18,504.92,578.47
09DPR1002T,MATUTINO,GENERAL,18,565.4,587.26
09DPR1003S,MATUTINO,GENERAL,17,563.54,580.57
09DPR1005Q,MATUTINO,GENERAL,28,559.13,614.72
09DPR1007O,VESPERTINO,GENERAL,28,505.7,502.63
09DPR1008N,MATUTINO,GENERAL,28,527.42,554.24
09DPR1010B,MATUTINO,GENERAL,18,521.15,509
09DPR1013Z,MATUTINO,GENERAL,18,555.22,509.66
09DPR1014Y,MATUTINO,GENERAL,17,574.42,584.17
09DPR1015X,MATUTINO,GENERAL,28,581.03,550.69
09DPR1016W,VESPERTINO,GENERAL,17,532.23,533.28
09DPR1018U,MATUTINO,GENERAL,28,549.11,531.2
09DPR1019T,MATUTINO,GENERAL,25,608.1,606.61
09DPR1020I,MATUTINO,GENERAL,17,574.87,564.54
09DPR1022G,VESPERTINO,GENERAL,17,567.28,519.86
09DPR1023F,MATUTINO,GENERAL,27,576.31,599.05
09DPR1024E,VESPERTINO,GENERAL,28,510.2,530.24
09DPR1025D,MATUTINO,GENERAL,27,581.09,602.38
09DPR1026C,MATUTINO,GENERAL,28,544.55,573.73
09DPR1027B,MATUTINO,GENERAL,28,492.44,503.98
09DPR1029Z,MATUTINO,GENERAL,28,537.09,543.58
09DPR1032N,MATUTINO,GENERAL,28,561.91,524.52
09DPR1033M,VESPERTINO,GENERAL,28,527.49,535.4
09DPR1034L,MATUTINO,GENERAL,28,632.18,577.97
09DPR1035K,VESPERTINO,GENERAL,28,562.21,545.78
09DPR1037I,MATUTINO,GENERAL,28,581.98,525.65
09DPR1041V,MATUTINO,GENERAL,28,539.5,556.65
09DPR1043T,MATUTINO,GENERAL,17,516.01,563.48
09DPR1044S,MATUTINO,GENERAL,28,512.41,569.05
09DPR1046Q,VESPERTINO,GENERAL,28,542.25,577.03
09DPR1047P,VESPERTINO,GENERAL,17,513.94,547.17
09DPR1048O,MATUTINO,GENERAL,17,539.51,569.04
09DPR1049N,MATUTINO,GENERAL,18,563.4,596.28
09DPR1050C,VESPERTINO,GENERAL,18,522.1,547.37
